feature,type,description,missing_rate_train
log_goal,numeric,Log(1+goal): compresses right skew of funding goal,0.00%
duration_days,numeric,Campaign duration in days (capped at 90),0.00%
prep_days,numeric,Days from account creation to launch (winsorised at 99th pct),0.00%
blurb_length,numeric,Character count of campaign short description,0.00%
name_length,numeric,Character count of campaign title,0.00%
blurb_word_count,numeric,Word count of campaign short description,0.00%
launched_month,numeric,"Month of launch (1=Jan, 12=Dec)",0.00%
launched_dayofweek,numeric,"Day of week at launch (0=Mon, 6=Sun)",0.00%
goal_per_day,numeric,goal / duration_days: daily fundraising target,0.00%
log_goal_vs_cat_median,numeric,Log(1 + goal / category_median_goal): relative ambition within category,0.00%
cat_name_encoded,numeric,"Smoothed target encoding of subcategory (train success rate, λ=10)",0.00%
cat_parent_encoded,numeric,"Smoothed target encoding of parent category (train success rate, λ=10)",0.00%
has_video,binary,"1 = video attached to campaign page, 0 = no video",0.00%
name_number,binary,1 = campaign title contains a digit (0–9),0.00%
goal_is_round,binary,"1 = funding goal is divisible by 1,000",0.00%
is_usd,binary,1 = campaign currency is USD,0.00%
country_AU,binary,1 = campaign from AU (one-hot encoded),0.00%
country_CA,binary,1 = campaign from CA (one-hot encoded),0.00%
country_DE,binary,1 = campaign from DE (one-hot encoded),0.00%
country_DK,binary,1 = campaign from DK (one-hot encoded),0.00%
country_ES,binary,1 = campaign from ES (one-hot encoded),0.00%
country_FR,binary,1 = campaign from FR (one-hot encoded),0.00%
country_GB,binary,1 = campaign from GB (one-hot encoded),0.00%
country_HK,binary,1 = campaign from HK (one-hot encoded),0.00%
country_IT,binary,1 = campaign from IT (one-hot encoded),0.00%
country_MX,binary,1 = campaign from MX (one-hot encoded),0.00%
country_NL,binary,1 = campaign from NL (one-hot encoded),0.00%
country_NZ,binary,1 = campaign from NZ (one-hot encoded),0.00%
country_Other,binary,1 = campaign from Other (one-hot encoded),0.00%
country_SE,binary,1 = campaign from SE (one-hot encoded),0.00%
country_US,binary,1 = campaign from US (one-hot encoded),0.00%
blurb_has_able,binary,1 = blurb contains 'able',0.00%
blurb_has_aim,binary,1 = blurb contains 'aim',0.00%
blurb_has_album_original,binary,1 = blurb contains 'album original',0.00%
blurb_has_annual,binary,1 = blurb contains 'annual',0.00%
blurb_has_april,binary,1 = blurb contains 'april',0.00%
blurb_has_arduino,binary,1 = blurb contains 'arduino',0.00%
blurb_has_august,binary,1 = blurb contains 'august',0.00%
blurb_has_award,binary,1 = blurb contains 'award',0.00%
blurb_has_award_winning,binary,1 = blurb contains 'award winning',0.00%
blurb_has_bbq,binary,1 = blurb contains 'bbq',0.00%
blurb_has_blog,binary,1 = blurb contains 'blog',0.00%
blurb_has_brewery,binary,1 = blurb contains 'brewery',0.00%
blurb_has_brooklyn,binary,1 = blurb contains 'brooklyn',0.00%
blurb_has_burning,binary,1 = blurb contains 'burning',0.00%
blurb_has_burning_man,binary,1 = blurb contains 'burning man',0.00%
blurb_has_business,binary,1 = blurb contains 'business',0.00%
blurb_has_car,binary,1 = blurb contains 'car',0.00%
blurb_has_celebrating,binary,1 = blurb contains 'celebrating',0.00%
blurb_has_channel,binary,1 = blurb contains 'channel',0.00%
blurb_has_collaboration,binary,1 = blurb contains 'collaboration',0.00%
blurb_has_com,binary,1 = blurb contains 'com',0.00%
blurb_has_compositions,binary,1 = blurb contains 'compositions',0.00%
blurb_has_currently,binary,1 = blurb contains 'currently',0.00%
blurb_has_david,binary,1 = blurb contains 'david',0.00%
blurb_has_downtown,binary,1 = blurb contains 'downtown',0.00%
blurb_has_edinburgh,binary,1 = blurb contains 'edinburgh',0.00%
blurb_has_edition,binary,1 = blurb contains 'edition',0.00%
blurb_has_enamel,binary,1 = blurb contains 'enamel',0.00%
blurb_has_enamel_pins,binary,1 = blurb contains 'enamel pins',0.00%
blurb_has_entertainment,binary,1 = blurb contains 'entertainment',0.00%
blurb_has_equipment,binary,1 = blurb contains 'equipment',0.00%
blurb_has_exhibition,binary,1 = blurb contains 'exhibition',0.00%
blurb_has_exploration,binary,1 = blurb contains 'exploration',0.00%
blurb_has_final,binary,1 = blurb contains 'final',0.00%
blurb_has_fringe,binary,1 = blurb contains 'fringe',0.00%
blurb_has_gospel,binary,1 = blurb contains 'gospel',0.00%
blurb_has_hard_enamel,binary,1 = blurb contains 'hard enamel',0.00%
blurb_has_hello,binary,1 = blurb contains 'hello',0.00%
blurb_has_homemade,binary,1 = blurb contains 'homemade',0.00%
blurb_has_idea,binary,1 = blurb contains 'idea',0.00%
blurb_has_inspirational,binary,1 = blurb contains 'inspirational',0.00%
blurb_has_installation,binary,1 = blurb contains 'installation',0.00%
blurb_has_issue,binary,1 = blurb contains 'issue',0.00%
